hashtag,count,party
Yemen,44,L
DefendDACA,44,L
JusticeForVanessaGuillen,44,L
TakeBackDay,44,L
SECUREAct,44,L
wagegap,44,L
affordablehousing,44,L
DDay75,44,L
SAFEAct,44,L
HurricaneDorian,44,L
Kavanaugh,44,L
MedicareforAll,44,L
SaveLWCF,44,L
GOPShutdown,44,L
CA11,44,L
flapol,44,L
WomenVeteransDay,43,L
NativeWomensEqualPay,43,L
ArborDay,43,L
PulseNightclub,43,L
StopGunViolence,43,L
BigOil,43,L
ProtectPregnantWorkers,43,L
KeepKidsFed,43,L
LowerCostsForCare,43,L
OurPowerOurMessage,43,L
HR5,43,L
RecapWithRick,43,L
FairHousingMonth,42,L
VRA,42,L
Holi,42,L
LatinaEqualPay,42,L
NATO,42,L
StopTheBans,42,L
CitizenshipDay,42,L
BIF,42,L
IIJA,42,L
FMLA,42,L
mtpol,42,L
DiaDeLosMuertos,42,L
CincoDeMayo,42,L
TrumpRussia,42,L
ProtectDREAMers,42,L
BlackGirlMagic,42,L
KoreanAmericanDay,42,L
JobsReport,42,L
NationalApprenticeshipAct,42,L
MD06,42,L
RenewUI,42,L
Pittsburgh,42,L
Tallahassee,42,L
mhchat,42,L
NationalApprenticeshipWeek,41,L
CountdownToMars,41,L
GoldStarMothersDay,41,L
PassWHPA,41,L
GunViolenceAwarenessMonth,41,L
WomensVote100,41,L
VaccinesWork,41,L
BREAKING,41,L
TransMilitaryBan,41,L
BanAssaultWeapons,41,L
StandWithPP,41,L
RosaParks,41,L
Inauguration,41,L
WHM,41,L
AbortionAccess,41,L
HBCUSTEAM,41,L
LIFTAmerica,41,L
BringBackOurGirls,41,L
Taiwan,41,L
InternTakeover,41,L
ROPA,41,L
CA52,41,L
IDAHOBIT,40,L
ChildCare,40,L
TrumpKnew,40,L
NationalRecoveryMonth,40,L
cleanenergy,40,L
CareIsEssential,40,L
RipCity,40,L
CHIP,40,L
ScientificSolutions,40,L
campaignfinancereform,40,L
Brooklyn,40,L
DeportedVeterans,40,L
BWCA,40,L
Springfield,40,L
NativeAmericanHeritageDay,39,L
MilitaryAppreciationMonth,39,L
WorldContraceptionDay,39,L
WorldImmunizationWeek,39,L
IRA,39,L
Artemis,39,L
LIHEAP,39,L
January6,39,L
VoteReady,39,L
Enough,39,L
SaveNetNeutrality,39,L
LoveIsLove,39,L
votingrights,39,L
Election2020,39,L
RestInPower,39,L
GoGreen,39,L
SaveTheInternet,39,L
DigitalDivide,39,L
TaxTheRich,39,L
AmericanMinersAct,39,L
EqualMarriage,39,L
GOPTaxPlan,39,L
AskDems,39,L
Christmas,39,L
ActforALS,39,L
AZ07,39,L
BoyleHeights,39,L
NewBedford,39,L
ForestHills,39,L
TuesdayswithTom,39,L
SlamTheScam,38,L
HungerActionMonth,38,L
HomeisHere,38,L
SmallBusinessBoom,38,L
Massachusetts,38,L
SavannasAct,38,L
UnfoldTheUniverse,38,L
ClimateEmergency,38,L
HealthcareProvidersSafetyAct,38,L
IE,38,L
PalmSunday,38,L
ProtectOurDemocracy,38,L
AmericaCOMPETESAct,38,L
ImpeachNow,38,L
WI03,38,L
NY19,38,L
ma10,38,L
IL02Proud,38,L
MilitarySpouseAppreciationDay,37,L
broadband,37,L
RecoverWildlife,37,L
WRDA,37,L
Nicaragua,37,L
ProtectX,37,L
HereToStay,37,L
WorldDiabetesDay,37,L
TreeofLife,37,L
Mueller,37,L
RIP,37,L
OceanShippingReformAct,37,L
FlashbackFriday,37,L
Georgia,37,L
KeepFamiliesTogetherAct,37,L
HurricaneFlorence,37,L
AHCA,37,L
ChibokGirls,37,L
NRA,37,L
NV03,37,L
MRRRI,37,L
copolitics,37,L
Maine,37,L
flattenthecurve,36,L
InflationReduction,36,L
Sudan,36,L
DemConvention,36,L
CountEveryVote,36,L
EndTheException,36,L
4profit,36,L
HolocaustMemorialDay,36,L
BeThere,36,L
WednesdayWisdom,36,L
ShanaTova,36,L
MasksForAll,36,L
NewDem,36,L
Juneteenth2022,36,L
budget,36,L
PA,36,L
ColoradoWildernessAct,36,L
IL01,36,L
ACTforALS,35,L
DCStatehoodNow,35,L
NoTaxBreaksForUnionBusting,35,L
DemolishDisabledPoverty,35,L
HumanRights,35,L
BlackBusinessMonth,35,L
InThisTogether,35,L
raisethewage,35,L
firefighters,35,L
PromiseKept,35,L
EqualAccess,35,L
SolvingtheClimateCrisis,35,L
PublicHealth,35,L
InfrastructureLaw,35,L
Israel,35,L
Uvalde,35,L
CA29,35,L
Paterson,35,L
Boggs,35,L
YearOfTheTiger,34,L
StayAtHome,34,L
NationalPublicHealthWeek,34,L
OpeningDay,34,L
NotOneMore,34,L
ReadAcrossAmerica,34,L
GunReformNow,34,L
CTC,34,L
ProtectTransTroops,34,L
CleanPowerPlan,34,L
January6thHearings,34,L
HurricaneHarvey,34,L
VAWA19,34,L
GetCoveredWA,34,L
MandelaDay,34,L
CongressionalBaseballGame,34,L
climate,34,L
VaxUp,34,L
CoffeeWithCarolyn,34,L
SuperTyphoonYutu,34,L
WA09,34,L
ROCProud,34,L
ManufacturingMonday,34,L
ManufacturingDay,33,L
LawEnforcementAppreciationDay,33,L
NationalGunViolenceAwarenessDay,33,L
WorldPolioDay,33,L
DontLookAway,33,L
Hartford,33,L
EnoughisEnough,33,L
EarthDay2021,33,L
EndCitizensUnited,33,L
MLK50,33,L
ImpeachmentTrial,33,L
ExtendUI,33,L
WomensMarch,33,L
ElPaso,33,L
JusticeForGeorgeFloyd,33,L
ThursdayThoughts,33,L
SuicidePreventionWeek,33,L
LGBTQI,33,L
SocSec85,33,L
September11th,33,L
JusticeinPolicingAct,33,L
SupportUkraine,33,L
GOPbudget,33,L
PriorAuth,33,L
SheWillRise,33,L
PutinPriceHike,33,L
smallbusiness,33,L
MyRightMyDecision,33,L
KeepItWild,33,L
PABudget,33,L
NJ5HometownHeroes,33,L
CA02,33,L
NY05,33,L
NY15,33,L
Elmhurst,33,L
VoltageValley,33,L
TeamTrahan,33,L
OurSpeech,33,L
DISCLOSE,32,L
NationalPreparednessMonth,32,L
Nowruz,32,L
LatinaHistoryDay,32,L
ChagSameach,32,L
TrumpTax,32,L
ForGeorgia,32,L
WomenInSTEM,32,L
NoBanNoWall,32,L
NoBillNoBreak,32,L
POWMIARecognitionDay,32,L
WageGap,32,L
txlege,32,L
education,32,L
science,32,L
MonumentsForAll,32,L
MentoringMonth,32,L
HometownHero,32,L
100DaysOf117th,32,L
SmallBusinesses,32,L
StandWithPublicWorkers,32,L
Priorities,32,L
ImpeachTrump,32,L
ShirleyChisholm,32,L
NSA,32,L
COVID19Vaccine,32,L
CovidVaccine,32,L
MiddleClassFirst,32,L
TeamGomez,32,L
WA08,32,L
MI08,32,L
NJ12,32,L
HR2590,32,L
cawater,32,L
L1C4,32,L
NationalVolunteerWeek,31,L
AmericaRecyclesDay,31,L
NursesWeek,31,L
MarriageEquality,31,L
UkrainianIndependenceDay,31,L
HappyFathersDay,31,L
CleanerCars,31,L
Ethiopia,31,L
ALS,31,L
COP25,31,L
MI,31,L
FirstStepAct,31,L
JerseyStrong,31,L
ProtectChaco,31,L
InThisTogetherOhio,31,L
housing,31,L
AmericaHasSpoken,31,L
tbt,31,L
ExIm4Jobs,31,L
StopIslamophobia,31,L
InspiredByHer,31,L
Durham,31,L
TeamCooper,31,L
Bellingham,31,L
JusticeGuarantee,31,L
VeteranServiceRecognitionAct,30,L
ADA32,30,L
January6thCommitteeHearings,30,L
FlipThe6th,30,L
ProtectTheVote,30,L
VotingRightsNow,30,L
COVID19HeroesFund,30,L
Jan6th,30,L
RAWA,30,L
getvaccinated,30,L
2021townhall,30,L
WellsFargo,30,L
CoastGuard,30,L
AUMF,30,L
SupremeCourt,30,L
25thAmendment,30,L
MinorityHealthMonth,30,L
CWA50,30,L
COMPETESAct,30,L
SingleParentPenalty,30,L
AimHigher,30,L
SocialSecurityFairnessAct,30,L
IL11,30,L
MS02,30,L
TeamNikema,30,L
ActForWomen,29,L
SaferCommunitiesAct,29,L
TransRightsAreHumanRights,29,L
GIBill,29,L
votebymail,29,L
Belarus,29,L
SanBernardino,29,L
StopHIVTogether,29,L
TulsaRaceMassacre,29,L
HR51,29,L
TradeUp,29,L
PurpleHeart,29,L
BlackHistory,29,L
EssentialWorkers,29,L
veteran,29,L
MSDstrong,29,L
January6thCommission,29,L
NC12,29,L
KetanjiBrownJackson,29,L
ImpeachmentInquiry,29,L
RepublicanAgenda,29,L
ParisClimateAgreement,29,L
INVESTinAmerica,29,L
OnWednesdaysWeWearPink,29,L
FosterYouthShadowDay,29,L
1MillionKids,29,L
ClimateRestart,29,L
JobsandJustice,29,L
Surfside,29,L
Fresno,29,L
MD,29,L
Bayside,29,L
Pomona,29,L
NationalMammographyDay,28,L
HandsOffMyBC,28,L
YomHashoah,28,L
EndTitle42,28,L
PiDay,28,L
ThrowbackThursday,28,L
RoeVsWade,28,L
ChamberofCarbon,28,L
RefugeesWelcome,28,L
ThxACA,28,L
ProtectTheTongass,28,L
JuneTeenth2021,28,L
StandWithUkraine,28,L
FairHousingAct,28,L
WHConfHungerHealth,28,L
OneNationOneTeam,28,L
OpioidEpidemic,28,L
immigrants,28,L
NorthKorea,28,L
PTSD,28,L
Guatemala,28,L
OnWisconsin,28,L
MadeInWI,28,L
HispanicNursesDay,28,L
ProtectAbortionAccess,28,L
SocialDistancing,28,L
SubEnergy,28,L
BipartisanInfrastructureBill,28,L
